,iso,year,gdpPerc
1,ALB,1,0.149877699
2,AUS,1,0.1650167953
3,AUT,1,0.2299503912
4,BEL,1,0.2429243968
5,BGR,1,0.3746942475
6,CAN,1,0.03353811709
7,CHE,1,0.2429243968
8,CHN,1,21.12113856
9,CSK,1,0.749388495
10,DEU,1,1.603270918
11,DNK,1,0.08159246229
12,DZA,1,2.297997061
13,EGY,1,4.251176944
14,ESP,1,2.813874263
15,ETH,1,0.2328336923
16,FIN,1,0.008023897089
17,FRA,1,4.048739946
18,GBR,1,0.3306739677
19,GRC,1,2.159327971
20,HUN,1,0.2248165485
21,IDN,1,0.9766655986
22,IND,1,26.16068568
23,IRN,1,3.77882395
24,IRQ,1,0.9447059875
25,ITA,1,9.538060125
26,JPN,1,1.151713171
27,LBY,1,0.996966004
28,MAR,1,0.4656673847
29,MEX,1,0.966370656
30,MOZ,1,0.02328336923
31,NLD,1,0.09596350498
32,NOR,1,0.08558069707
33,POL,1,0.3372248228
34,PRT,1,0.3238991957
35,ROU,1,0.599510796
36,RUS,1,2.922615131
37,SDN,1,0.9313347694
38,SWE,1,0.08406116626
39,TUN,1,0.75576479
40,TUR,1,6.070796354
41,USA,1,0.2578765939
42,YUG,1,1.124082743
43,ZAF,1,0.04656673847
44,ALB,1600,0.04878257879
45,AUS,1600,0.06105442356
46,AUT,1600,0.6765509991
47,BEL,1600,0.8036409662
48,BGR,1600,0.3048911174
49,BRA,1600,0.1170635447
50,CAN,1600,0.03147371619
51,CHE,1600,0.4153118558
52,CHN,1600,23.96583883
53,CSK,1600,1.097608023
54,DEU,1600,5.027765308
55,DNK,1600,0.191191456
56,DZA,1600,0.3014613442
57,EGY,1600,1.234379406
58,ESP,1600,2.473407756
59,ETH,1600,0.3014613442
60,FIN,1600,0.09317241351
61,FRA,1600,5.920282276
62,GBR,1600,1.868550605
63,GRC,1600,0.2622913796
64,HUN,1600,0.3048911174
65,IDN,1600,1.752501964
66,IND,1600,27.44020057
67,IRL,1600,0.2316355003
68,IRN,1600,0.9911421985
69,IRQ,1600,0.2477855496
70,ITA,1600,7.011397514
71,JPN,1600,3.218552014
72,LBY,1600,0.06699140983
73,MAR,1600,0.3014613442
74,MDG,1600,0.1071862557
75,MEX,1600,0.4575775064
76,MOZ,1600,0.1674785246
77,NLD,1600,0.6940211195
78,NOR,1600,0.1562515519
79,NZL,1600,0.01225348422
80,PER,1600,0.2442018902
81,POL,1600,1.21956447
82,PRT,1600,0.3422679748
83,ROU,1600,0.4878257879
84,RUS,1600,5.952330816
85,SDN,1600,0.5627278426
86,SWE,1600,0.1951842611
87,TUN,1600,0.1339828197
88,TUR,1600,1.566004674
89,USA,1600,0.1738540712
90,YUG,1600,0.6707604583
91,ZAF,1600,0.09378797377
92,ALB,1800,0.04319747799
93,AUS,1800,0.03223458332
94,AUT,1800,0.6649241465
95,BEL,1800,0.7050176027
96,BGR,1800,0.2118154001
97,BRA,1800,0.4499199116
98,CAN,1800,0.1004482718
99,CHE,1800,0.5763441732
100,CHN,1800,29.00860932
101,CSK,1800,1.100481827
102,DEU,1800,4.683943326
103,DNK,1800,0.2412034781
104,DZA,1800,0.3625017332
105,EGY,1800,0.6639024841
106,ESP,1800,1.880764277
107,ETH,1800,0.2163401864
108,FIN,1800,0.1295971504
109,FRA,1800,5.529643498
110,GBR,1800,6.334601258
111,GRC,1800,0.2619201812
112,HUN,1800,0.3864305577
113,IDN,1800,1.597882098
114,IND,1800,15.22395804
115,IRL,1800,1.080821893
116,IRN,1800,0.9834265444
117,IRQ,1800,0.4180924971
118,ITA,1800,5.342869686
119,JPN,1800,3.09324882
120,LBY,1800,0.03777368334
121,MAR,1800,0.1799282503
122,MDG,1800,0.1114856516
123,MEX,1800,0.9805292025
124,MOZ,1800,0.1418585349
125,NLD,1800,0.7888570067
126,NOR,1800,0.2295531343
127,NZL,1800,0.006566634719
128,PER,1800,0.148755154
129,POL,1800,1.079031739
130,PRT,1800,0.5395979851
131,ROU,1800,0.5987674565
132,RUS,1800,9.352859621
133,SDN,1800,0.3573698318
134,SWE,1800,0.3442780142
135,TUN,1800,0.06236823822
136,TUR,1800,1.181985964
137,USA,1800,1.697766398
138,YUG,1800,0.5010733614
139,ZAF,1800,0.3354537201
140,AFG,1850,0.1902879068
141,ALB,1850,0.04358412367
142,ARG,1850,0.1753372616
143,AUS,1850,0.1574645075
